Time resolution is 1 ps
t=0 | attempts= 23 | steps= 7 | sel_display=1110 | seg=0000110
t=5000 | attempts= 23 | steps= 7 | sel_display=1101 | seg=0010010
t=15000 | attempts= 23 | steps= 7 | sel_display=1011 | seg=0001111
t=25000 | attempts= 23 | steps= 7 | sel_display=0111 | seg=0000001
t=35000 | attempts= 23 | steps= 7 | sel_display=1110 | seg=0000110
t=45000 | attempts= 23 | steps= 7 | sel_display=1101 | seg=0010010
t=55000 | attempts= 23 | steps= 7 | sel_display=1011 | seg=0001111
t=65000 | attempts= 23 | steps= 7 | sel_display=0111 | seg=0000001
t=75000 | attempts= 23 | steps= 7 | sel_display=1110 | seg=0000110
t=85000 | attempts= 23 | steps= 7 | sel_display=1101 | seg=0010010
t=95000 | attempts= 23 | steps= 7 | sel_display=1011 | seg=0001111
t=105000 | attempts= 23 | steps= 7 | sel_display=0111 | seg=0000001
t=115000 | attempts= 23 | steps= 7 | sel_display=1110 | seg=0000110
t=125000 | attempts= 23 | steps= 7 | sel_display=1101 | seg=0010010
t=135000 | attempts= 23 | steps= 7 | sel_display=1011 | seg=0001111
t=145000 | attempts= 23 | steps= 7 | sel_display=0111 | seg=0000001
t=155000 | attempts= 23 | steps= 7 | sel_display=1110 | seg=0000110
t=165000 | attempts= 23 | steps= 7 | sel_display=1101 | seg=0010010
t=175000 | attempts= 23 | steps= 7 | sel_display=1011 | seg=0001111
t=185000 | attempts= 23 | steps= 7 | sel_display=0111 | seg=0000001
t=195000 | attempts= 23 | steps= 7 | sel_display=1110 | seg=0000110
t=200000 | attempts= 45 | steps= 9 | sel_display=1110 | seg=0100100
t=205000 | attempts= 45 | steps= 9 | sel_display=1101 | seg=1001100
t=215000 | attempts= 45 | steps= 9 | sel_display=1011 | seg=0000100
t=225000 | attempts= 45 | steps= 9 | sel_display=0111 | seg=0000001
t=235000 | attempts= 45 | steps= 9 | sel_display=1110 | seg=0100100
t=245000 | attempts= 45 | steps= 9 | sel_display=1101 | seg=1001100
t=255000 | attempts= 45 | steps= 9 | sel_display=1011 | seg=0000100
t=265000 | attempts= 45 | steps= 9 | sel_display=0111 | seg=0000001
t=275000 | attempts= 45 | steps= 9 | sel_display=1110 | seg=0100100
t=285000 | attempts= 45 | steps= 9 | sel_display=1101 | seg=1001100
t=295000 | attempts= 45 | steps= 9 | sel_display=1011 | seg=0000100
t=305000 | attempts= 45 | steps= 9 | sel_display=0111 | seg=0000001
t=315000 | attempts= 45 | steps= 9 | sel_display=1110 | seg=0100100
t=325000 | attempts= 45 | steps= 9 | sel_display=1101 | seg=1001100
t=335000 | attempts= 45 | steps= 9 | sel_display=1011 | seg=0000100
t=345000 | attempts= 45 | steps= 9 | sel_display=0111 | seg=0000001
t=355000 | attempts= 45 | steps= 9 | sel_display=1110 | seg=0100100
t=365000 | attempts= 45 | steps= 9 | sel_display=1101 | seg=1001100
t=375000 | attempts= 45 | steps= 9 | sel_display=1011 | seg=0000100
t=385000 | attempts= 45 | steps= 9 | sel_display=0111 | seg=0000001
t=395000 | attempts= 45 | steps= 9 | sel_display=1110 | seg=0100100
t=400000 | attempts=  8 | steps= 4 | sel_display=1110 | seg=0000000
t=405000 | attempts=  8 | steps= 4 | sel_display=1101 | seg=0000001
t=415000 | attempts=  8 | steps= 4 | sel_display=1011 | seg=1001100
t=425000 | attempts=  8 | steps= 4 | sel_display=0111 | seg=0000001
t=435000 | attempts=  8 | steps= 4 | sel_display=1110 | seg=0000000
t=445000 | attempts=  8 | steps= 4 | sel_display=1101 | seg=0000001
t=455000 | attempts=  8 | steps= 4 | sel_display=1011 | seg=1001100
t=465000 | attempts=  8 | steps= 4 | sel_display=0111 | seg=0000001
t=475000 | attempts=  8 | steps= 4 | sel_display=1110 | seg=0000000
t=485000 | attempts=  8 | steps= 4 | sel_display=1101 | seg=0000001
t=495000 | attempts=  8 | steps= 4 | sel_display=1011 | seg=1001100
t=505000 | attempts=  8 | steps= 4 | sel_display=0111 | seg=0000001
t=515000 | attempts=  8 | steps= 4 | sel_display=1110 | seg=0000000
t=525000 | attempts=  8 | steps= 4 | sel_display=1101 | seg=0000001
t=535000 | attempts=  8 | steps= 4 | sel_display=1011 | seg=1001100
t=545000 | attempts=  8 | steps= 4 | sel_display=0111 | seg=0000001
t=555000 | attempts=  8 | steps= 4 | sel_display=1110 | seg=0000000
t=565000 | attempts=  8 | steps= 4 | sel_display=1101 | seg=0000001
t=575000 | attempts=  8 | steps= 4 | sel_display=1011 | seg=1001100
t=585000 | attempts=  8 | steps= 4 | sel_display=0111 | seg=0000001
t=595000 | attempts=  8 | steps= 4 | sel_display=1110 | seg=0000000
t=600000 | attempts= 99 | steps= 1 | sel_display=1110 | seg=0000100
t=605000 | attempts= 99 | steps= 1 | sel_display=1101 | seg=0000100
t=615000 | attempts= 99 | steps= 1 | sel_display=1011 | seg=1001111
t=625000 | attempts= 99 | steps= 1 | sel_display=0111 | seg=0000001
t=635000 | attempts= 99 | steps= 1 | sel_display=1110 | seg=0000100
t=645000 | attempts= 99 | steps= 1 | sel_display=1101 | seg=0000100
t=655000 | attempts= 99 | steps= 1 | sel_display=1011 | seg=1001111
t=665000 | attempts= 99 | steps= 1 | sel_display=0111 | seg=0000001
t=675000 | attempts= 99 | steps= 1 | sel_display=1110 | seg=0000100
t=685000 | attempts= 99 | steps= 1 | sel_display=1101 | seg=0000100
t=695000 | attempts= 99 | steps= 1 | sel_display=1011 | seg=1001111
t=705000 | attempts= 99 | steps= 1 | sel_display=0111 | seg=0000001
t=715000 | attempts= 99 | steps= 1 | sel_display=1110 | seg=0000100
t=725000 | attempts= 99 | steps= 1 | sel_display=1101 | seg=0000100
t=735000 | attempts= 99 | steps= 1 | sel_display=1011 | seg=1001111
t=745000 | attempts= 99 | steps= 1 | sel_display=0111 | seg=0000001
t=755000 | attempts= 99 | steps= 1 | sel_display=1110 | seg=0000100
t=765000 | attempts= 99 | steps= 1 | sel_display=1101 | seg=0000100
t=775000 | attempts= 99 | steps= 1 | sel_display=1011 | seg=1001111
t=785000 | attempts= 99 | steps= 1 | sel_display=0111 | seg=0000001
t=795000 | attempts= 99 | steps= 1 | sel_display=1110 | seg=0000100
$stop called at time : 800 ns : File "/home/ale_bejarano/Taller_Digitales/Taller_Digitales/Proyect_1_digitales/Proyect_1_digitales.srcs/sim_1/new/tb_top_seg.v" Line 79
